,Title,Skill,Company,Location,Salary,Link
65,Big Data Engineer (Python),Python,StartUs Insights,Remote,"₹5,49,354 - ₹18,28,920 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAN88MX9AoL9ncJEpEtD0Zz0JBZLoGox1b2BDssbm-dk11nxNycD7b--0CWlC_113vn3FokkUYiRovTrU-TYWcdHb_MWn3omOc-hRIHDTnVco189vgEQZP_O5GHwS8VYD68-cGwFugi8H-SIuu9-k13Gdjm5NSh8QkRI025fdXcEIm8cwB83vS02aryw1biOTHj3AQbORfU7rsLjtq7N-vWalZydp-1irj4onBUvYwjwlABLmebghWLE0EOhpS6igG-3KuUX1NrrIKdAZRnUgs3P8ieey6VkjqicLCdpLdRll2hhYX7bwVVuB08N2Xja1qot41kfkTX1CoNFWt-I_uq1U0ZXkC3_55bq1xPsT1HG6s2aRsnDmLH8vsFigNONbpRH29E8ut2D0TrGZvKlhR_rDOHqHz2JIuXQvhf-VBr-93K-QyrbOEsEFJgiRve4THAnh9hZvxlGAMi5_9ZSn8E7yvjzt-I1k=&p=5&fvj=1&vjs=3
66,newPython Intern,Python,TURABIT SOLUTIONS,India,Not Specified,in.indeed.com/rc/clk?jk=bf20f21b184042df&fccid=7029d6b627864dc9&vjs=3
67,Jr. Python Developer,Python,Fulfillment Center Services,Remote,"₹30,000 a month",in.indeed.com/company/Fulfillment-Center-Services/jobs/Junior-Python-Developer-d508aab718986ede?fccid=fd50fe3298df22a6&vjs=3
68,newSoftware Engineering- Python Developer,Python,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra+1 location",Not Specified,in.indeed.com/rc/clk?jk=ad8d79c47a76f1d4&fccid=aaf3b433897ea465&vjs=3
69,newPython Developer Intern,Python,RannLab Technologies,Remote,Not Specified,in.indeed.com/rc/clk?jk=3653c2e2bdbbc725&fccid=25456d456bacc260&vjs=3
70,newPython developers - Remote work for US Client,Python,Infoz Software Solution,"Mumbai, Maharashtra•Remote","₹50,000 - ₹1,00,000 a month",in.indeed.com/company/Infoz-Software-Solution/jobs/Python-Developer-b6e450002ed3d6fc?fccid=740b3546b24362df&vjs=3
71,AWS Python-Analyst/Consultant-Hyderabad/Bengaluru,Python,Deloitte,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=52eed34df11cb333&fccid=9e215d88a6b33622&vjs=3
72,newJunior Python Developer,Python,Codedady Solutions Pvt Ltd,"Angadipuram, Kerala","₹10,000 - ₹20,000 a month",in.indeed.com/company/Codedady-Solutions-Pvt-Ltd/jobs/Junior-Python-Developer-ca47a91cef1ff7bd?fccid=2a6b52fb2529efd3&vjs=3
73,newPython Developer,Python,Morgan Stanley,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=b3ad34031c566e29&fccid=0c39fb2c91742dcf&vjs=3
74,newPython Developer,Python,Elite Web Technologies,"Panchkula, Haryana•Remote","₹50,000 - ₹70,000 a month",in.indeed.com/company/Elite-Web-Technologies/jobs/Python-Developer-29b904717aa24709?fccid=e622af2a3821a0ad&vjs=3
75,newPython Developer,Python,Morgan Stanley,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=b3ad34031c566e29&fccid=0c39fb2c91742dcf&vjs=3
76,newPython Developer,Python,Elite Web Technologies,"Panchkula, Haryana•Remote","₹50,000 - ₹70,000 a month",in.indeed.com/company/Elite-Web-Technologies/jobs/Python-Developer-29b904717aa24709?fccid=e622af2a3821a0ad&vjs=3
77,newPython Developer,Python,Rishabh Software,"Vadodara, Gujarat•Remote","₹25,000 - ₹70,000 a month",in.indeed.com/company/Rishabh-Software/jobs/Python-Developer-99904539d5da45fd?fccid=bb8b516070135872&vjs=3
78,newData Analyst Trainee,Python,Getmyanalytics,"Howrah, West Bengal","₹10,000 - ₹15,000 a month",in.indeed.com/company/Getmyanalytics/jobs/Data-Analyst-Trainee-d5661480c707a85e?fccid=dab2ac4538fe1d51&vjs=3
79,newUSI-EH22-EA-CMG-Tech CoE- Data Scientist-A,Python,Deloitte,"Gurgaon, Haryana",Not Specified,in.indeed.com/rc/clk?jk=f3256bdbc08876b7&fccid=9e215d88a6b33622&vjs=3
80,Junior Web Developer,Python,Manhattan Tech Ventures Pvt. Ltd.,"Kolkata, West Bengal","₹6,000 - ₹20,000 a month",in.indeed.com/company/Manhattan-Tech-Ventures-Pvt.-Ltd./jobs/Junior-Web-Developer-aad6c8128db9a905?fccid=faa0d86b22371a1d&vjs=3
81,newPython Developer – 1 to 2.5 years,Python,TURABIT SOLUTIONS,India,Not Specified,in.indeed.com/rc/clk?jk=33a4028f120ee476&fccid=7029d6b627864dc9&vjs=3
82,newData science,Python,Optymize,"Kolkata, West Bengal+7 locations•Remote","₹1,300 an hour",in.indeed.com/company/Optymize/jobs/Data-Science-3f3364533b959344?fccid=d91817c0621dad10&vjs=3
83,newPYTHON FRESHERS,Python,ItJobCell,"Kochi, Kerala",Not Specified,in.indeed.com/rc/clk?jk=480b5a864d98ebb0&fccid=08aa6c51b8775e0e&vjs=3
84,Python Developer,Python,Vikgol,"Bengaluru, Karnataka•Temporarily Remote","₹12,286 - ₹60,517 a month",in.indeed.com/company/Vikgol/jobs/Python-Developer-90e504e70390ce1c?fccid=b7f9750d186322f5&vjs=3
85,newPython Interns / Trainees,Python,3RI TECHNOLOGIES,"Pune, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=42a407dad171dcd3&fccid=56369117eedae5a6&vjs=3
86,AWS - Python,Python,Deloitte,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=2d2cf290e7b6c6d3&fccid=9e215d88a6b33622&vjs=3
87,newSoftware Engineering(Python),Python,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra+1 location",Not Specified,in.indeed.com/rc/clk?jk=9f5847ce6bba1dea&fccid=aaf3b433897ea465&vjs=3
88,newPython Developer,Python,ACT Fibernet,"Bengaluru, Karnataka","₹2,50,000 - ₹6,50,000 a year",in.indeed.com/rc/clk?jk=8a0c1215bb50649f&fccid=cc5bb2ed34ade5c3&vjs=3
89,Python Developer,Python,Savatarr Technologies Pvt Ltd,"Noida, Uttar Pradesh•Temporarily Remote","₹2,00,000 a year",in.indeed.com/company/Savatarr-Technologies-Pvt-Ltd/jobs/Python-Developer-66b8d31d4688c327?fccid=7f0c58722d786fd8&vjs=3
90,newPython Developer,Python,REIZEND PRIVATE LIMITED,"Thiruvananthapuram, Kerala","₹3,50,000 - ₹8,50,000 a year",in.indeed.com/company/REIZEND-PRIVATE-LIMITED/jobs/Python-Developer-8d5aea2088a22cd1?fccid=f67a1f9b58497a39&vjs=3
91,newCRL2.0_ETL Testing_Staff,Python,EY,"Kolkata, West Bengal",Not Specified,in.indeed.com/rc/clk?jk=4608651415eec9e4&fccid=1544766d4c2915b0&vjs=3
92,newSoftware Intern,Python,Ciena,"Gurgaon, Haryana",Not Specified,in.indeed.com/rc/clk?jk=864384e379ac9cd7&fccid=144a39be55e8440b&vjs=3
93,newComputer Aided Engineering (CAE) Engineer,Python,Cyient,"Hyderabad, Telangana",Not Specified,in.indeed.com/rc/clk?jk=1cfbbd85d007046a&fccid=48337f40cc18bca7&vjs=3
94,newCIB - Python Developer - Associate,Python,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=3914d6f4f0613046&fccid=aaf3b433897ea465&vjs=3
95,newPython Developer,Python,Drugwrite,"Chennai, Tamil Nadu","₹10,000 - ₹30,000 a month",in.indeed.com/company/Drugwrite/jobs/Python-Developer-48688875cd898ef0?fccid=3ce0e6b1287c862c&vjs=3
96,Python Developer,Python,Roadcast Tech. Solutions Pvt. Ltd.,"Delhi, Delhi","₹3,00,000 - ₹10,00,000 a year",in.indeed.com/company/Roadcast-Tech.-Solutions-Pvt.-Ltd./jobs/Python-Developer-62eecb5c78048cb6?fccid=fb59ae4606590939&vjs=3
97,Python Developer Intern,Python,Koders,"Dehra Dun, Uttarakhand","₹5,000 a month",in.indeed.com/company/Koders/jobs/Python-Developer-Intern-6153c6566b18a04d?fccid=0b668b14c9a76f4a&vjs=3
98,newCloud Engineer,Python,MaxonClouds Technogies Pvt LTD,"Bengaluru, Karnataka•Temporarily Remote","₹25,000 - ₹40,000 a month",in.indeed.com/company/MaxonClouds-Technogies-Pvt-LTD/jobs/Cloud-Engineer-9c957ba7657334d6?fccid=73b73a070e9560e5&vjs=3
99,Python Developer - AWS Exp (Imm joining) Remote working,Python,Dextroblock,"Mumbai, Maharashtra•Remote","₹5,00,000 - ₹9,00,000 a year",in.indeed.com/company/Dextroblock/jobs/Python-Developer-3f999a79f1d15819?fccid=6b57a826deb79eec&vjs=3
100,newPython Developer,Python,Mithila HR Solution,"Kochi, Kerala","₹12,000 - ₹18,000 a month",in.indeed.com/company/Mithila-HR-Solution/jobs/Python-Developer-a16863e9dfab5044?fccid=71732be5b6ceb89c&vjs=3
101,newMachine Learning,Python,Cybage,Remote,Not Specified,in.indeed.com/rc/clk?jk=f079ac4078186f92&fccid=6a24090dc97c36b2&vjs=3
102,Junior Python Developer,Python,EWall Solutions,"Chennai, Tamil Nadu",Not Specified,in.indeed.com/company/EWall-Solutions/jobs/Junior-Python-Developer-161e84221b335edb?fccid=ed675471e6312f27&vjs=3
103,newSystem Engineer,Python,Zacks Research Pvt.Ltd.,"Kolkata, West Bengal",Not Specified,in.indeed.com/company/Zacks-Research-Pvt.Ltd./jobs/System-Engineer-072b78526885a50d?fccid=e4bd8bdd87a5b096&vjs=3
104,Django Development,Python,Cessini Technology,"Kolkata, West Bengal•Remote","₹10,000 - ₹15,000 a month",in.indeed.com/company/Cessini-Technology/jobs/Django-Development-aa2c5662f576960e?fccid=a9aaa62a38114f89&vjs=3
105,Django Development,Python,Cessini Technology,"Kolkata, West Bengal•Remote","₹10,000 - ₹15,000 a month",in.indeed.com/company/Cessini-Technology/jobs/Django-Development-aa2c5662f576960e?fccid=a9aaa62a38114f89&vjs=3
106,newPython developer-LinkedIN-C2H,Python,CareerNet Consulting,"Bengaluru, Karnataka•Remote","₹6,00,000 - ₹10,00,000 a year",in.indeed.com/rc/clk?jk=52d8b6d412beb108&fccid=e8afb8d81d161d22&vjs=3
107,newData And Analytics - CRL 2.0 Data Science,Python,EY,"Kolkata, West Bengal+1 location",Not Specified,in.indeed.com/rc/clk?jk=29c66a5a183760f0&fccid=1544766d4c2915b0&vjs=3
108,newPython Developer | Data Engineer (open to PERM or Contract),Python,Streamhub,India,Not Specified,in.indeed.com/rc/clk?jk=4db96427d41f9966&fccid=eab8d3ecc367cfac&vjs=3
109,newDeputy Manager Energy Systems,Python,Mahindra & Mahindra Ltd.,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=0462c6f8426dc702&fccid=34f022b244f566c3&vjs=3
110,newIT Trainer,Python,READYBELL Software Services Pvt. Limited,"Salt Lake City, West Bengal","₹20,000 - ₹25,000 a month",in.indeed.com/company/READYBELL-Software-Services-Pvt.-Limited/jobs/IT-Trainer-259e74355e1ff82d?fccid=afdba974fb7c74d8&vjs=3
111,newPython Programming Language Application Developer,Python,Accenture,"Chennai, Tamil Nadu+6 locations",Not Specified,in.indeed.com/rc/clk?jk=ac20810f1435b751&fccid=a4e4e2eaf26690c9&vjs=3
112,"newSoftware Engineering - Java, Python, Cloud",Python,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",Not Specified,in.indeed.com/rc/clk?jk=11fc0119e789a56a&fccid=aaf3b433897ea465&vjs=3
113,Freshers-Goa-Nov2021,Python,Elait,Goa,"₹3,60,000 a year",in.indeed.com/rc/clk?jk=513aea14d55dc287&fccid=76a921e7bb9025ff&vjs=3
114,newPython Developer,Python,Onpar Labs,"Bengaluru, Karnataka•Remote","₹65,000 - ₹75,000 a month",in.indeed.com/company/Onpar-Labs/jobs/Python-Developer-323b3e31b5652d3c?fccid=32444f98be2b70d8&vjs=3
115,PYTHON DEVELOPERS,Python,Virtual Web Technologies,"Fatorda, Goa",Not Specified,in.indeed.com/rc/clk?jk=0ed721094639db35&fccid=de9fe27827fc9803&vjs=3
116,newSoftware Engineer - ReactJS/ ExpressJS/Python/Golang/ Flutte...,Python,Hamon Techonologies LLP,"Calicut, Kerala•Remote",Not Specified,in.indeed.com/company/Hamon-Techonologies-LLP/jobs/Software-Engineer-f128352adf608074?fccid=a31fb51051bf5cd7&vjs=3
117,newPython IoT Embedded Software Engineer,Python,LeapMile Logistics Private Limited,"Bengaluru, Karnataka","₹4,00,000 a year",in.indeed.com/company/LeapMile-Logistics-Private-Limited/jobs/Python-Iot-Embedded-Software-Engineer-e98103797e1d0f35?fccid=94018efd64f0083f&vjs=3
118,newPython/Django Developer,Python,Tailwebs Technology Pvt. Ltd.,"Bengaluru, Karnataka","₹3,50,000 - ₹6,50,000 a year",in.indeed.com/company/Tailwebs-Technology-Pvt.-Ltd./jobs/Python-Django-Developer-c7a9acb70d67d9cc?fccid=1580bb7aaeac205f&vjs=3
119,Python/Django Developer,Python,Scientific Games,"Bengaluru, Karnataka•Temporarily Remote","₹15,00,000 a year",in.indeed.com/company/Scientific-Games/jobs/Python-Django-Developer-bb476597da37ccb0?fccid=c84a7d17b9b1910b&vjs=3
120,Software Engineer,C++,Indeed,"Hyderabad, Telangana","₹21,60,000 - ₹32,40,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWhcgmADz_twSLwem2iYl2ct_LZF9UYK3pCI3i-FPPnqqtU4kkHUEqIz-u3u4oWG17E2P-q2X1k60bEAGzt_KuzfuRJLzKgmuwOjqBZC2OQs6uIHhUa4VkKCnTk0iCyal47wtIlQPfq_nXjF9n_yVrOzonKTtEj4AEhjeWBzeRwzmvTjhgadv3gQs5f8idWIQSOka0TaIhvHuEN7SEc2wn9cwOeFj29EzWq0lgWqxLnYTEecMphwboe0yWnHwUf_9K3nro6UPcKL91nARRitccv60m6kvcIbdTCDe2eVyLrVX_kXs6EdaRjSC4Lrl28sLE5nRy5PHrnhqayAHJSRe_d8D4ySnIa6hpxlgGtpa4GXh5RizqAFN0qOzdQ2QFxLxc7jJpUGyUaLZfBnkqL4Ji25JxJt8_IBMxU8GEI7mEe_gsmF208qnPhh60xX4ISTt-Ed4wvd6TLhR7iweqobXzH-FF66R0Q5akoHxp5jgoFFJCEarRLo6vHAyo5wIerKMYdsDJCPcbS-uBTGYvY7LG&p=0&fvj=0&vjs=3
121,newC or C++ Developer - Permanent work from home,C++,Maplelabs,"Bengaluru, Karnataka•Remote","₹6,00,000 - ₹18,00,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ALD04RKTFglTitvs6CEKIjQPPFgnE6uigjHUjV016zeMCht1aUrW-olGCV1v6lsJ2NXMZuyGq5Q-gCbNDIaUpWkUDft8KBllcUZYXOh_N_e9V8vxcVDYjN4YzralAC1aAozt5EupdgD9rOOugQ-FFuUmayVBgJm5nOH3jwUSIpadmqcKvrixGiL99_LBV7oY5XukddacztYH5Y3Lsp2v0bCCUdmuAIKlJ481nVmWeBk9tbTGQjxA1iNwJSidJo84Nq_bFY5hegc8rbpwwGAhkyTFYp3Kt4P8WWs5chh3svHUU9d4ED9iZnktiPHOjYsjXR_4gYTRgmO-hT30EknD4vSzwstuoKls_G3RpTyXVrF0NTH7lZjaIY6Qipr6RLPsJ-WwDVH8GrhRaOMCMnOOVGF-RneZa_u-UQDUl0G82j3vFjoi-crM2Fcuw_fWLFSt_p2sSToCXgZeglz-zBVhnBfKnOdidbzb0U063VPZcndg==&p=1&fvj=1&vjs=3
122,Senior Software Engineer - Job Seeker Mobile Apps,C++,Indeed,"Hyderabad, Telangana","₹41,40,000 - ₹62,10,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWhcgmADz_twSLwem2iYl2ct_LZF9UYK3pCI3i-FPPnqqtU4kkHUEqIz-u3u4oWG3Eq6j7cIQWt87pV8dQhXECbOxxVVVC5F9zFmPlx36mLXFRShiuFKhWgf1hlgSZiSKpIICR8MZYXkCEvBQ-Dl4D5Xjjw7fVZhqHQB8LoTGNhvjs_ng35VqK04Yf7pdPhKwvBDc_h_XLbCzxBojTPB-oqBQGTiFZqmgTuRWblTGDpX6Rb-HK1XBzME26tAu_JtQ3b0TyBD7TxLTAeOB7HrJSYWtnT1tRZOMDU_MlyPlp0aAd6Q8rnDGlIKutmY7UU-_qEVsW8oUtj3Lx3PYlPzw3RY9JcG3o4xkoxDho8KIN12bZu1oqNBL_HnvfGfR2Fgc7HQqi2JfkScJ8Vz_T08oSPlmQPRRr4hXFPFYbQxhpmKtxX6Nf2IErF02FmO87l0GuPcvYZbkXS_mQ0KnCGXUKgkdXy84DcJkh3jmv73ossFRHdtzcPoM8cT8266_K2DXPYtPtKPIy5wAPOK5TQSVy&p=2&fvj=0&vjs=3
123,newSoftware Developer,C++,BEL,"Bengaluru, Karnataka","₹30,000 a month",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Csd0hh78UOY5qd3S4iQ-hYhz4b9s1K0EwsKd4dgwZZgs9bRu5B1JOpYB2l4t8mP4vHg6DFONefqPeH0nXC_Mz8uBRdMClij_PYd_9O17SbxeHYZs-MJz2L_poCTwvUlfvlwnp95z6dBTeCOv38062g1KTxo1BJbIYGbiDnna6fy8nL7nmK4kX9CZq5oCMPyYCHQrYJkIREwU6fcm5gagHnSBQtKetFT1OUGS1-QpztpN9YTByr1S-e6MpzmqAt75IlRd607mfSr2m29-po5rQ4dJVvHSLlXpKVaoRkq7Ka7a8LQFMa_STRIUtU35TQp_7veaGbYlbN9Zq-HIi0Df3I-4Cji1CJry-K7BH1UJS93iYZemgNupixGQmB6F5vqVkwYLujLJCmYWQ1R1GsCq9T7z6zbdapv6Hu6p6DkBzuNdwa960OD5HaTxIpzw8OYHS4CCHXQF68mA==&p=3&fvj=1&vjs=3
124,Program Director for cancer care NGO in South Gujarat,C++,Priyanka Jariwala Memorial Foundation,"Surat, Gujarat","₹3,00,000 - ₹4,80,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C37bGI6-2JjIIbCf7gsPV0lXznf82mTVK3c8BXfHoorjelRIpdA6aW2uYUlS61f8EYWTGIuIaPPmbcngqouepHZ0cgxqa0indNW-pE5B2J9KsiPdwqrgYbCE5Tl-xnJGAIuIaJbqHv8-3JtnFEgtrE6v9BOuvdIti3Y0DEhDIccSngZY5Qp7NFaU-A2O93dxM6WdMcbI31IF82wY3dI1NhTEyQycqLeM2jdoP7ULiWhWgJQZ4KeeMaCInnvez2-NKi6SIfb18K24CYFfApqL4JQ5PQw0ES54bUjWx4jrKJvc1Tug1hG2gWU7l7Ba9zvwTbyYTvhe2f0BxKkijb-Gifo0Zt7GlViDXy5uj3ItEUi1HG1IX5uNt2AKM8GbBeYhfA47JFloI_UkicYpUIkSPdhR1VcMhcpehhXlPzgt78hQI6NzCpXan1VPbCyP0eXHpSDcRRnjlz5SQ3vPNp6v8EPTL4-Urtw1TPon29CLswr2uE6_q5SbKU&p=4&fvj=1&vjs=3
125,"Senior Client Success Specialist, Enterprise",C++,Indeed,"Bengaluru, Karnataka","₹12,00,000 - ₹23,00,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWhcgmADz_twSLwem2iYl2ct_LZF9UYK3pCI3i-FPPnqqtU4kkHUEqIz-u3u4oWG1AnmeYo1Jx7ZL-FNCFUnSiB89WKlkwEJ3khW28SPQsRsv6d3HEXdv_-r79sHU7lxTTPzCSc-6caLARXaYKk7w9ZJ6PKmS31KLnDELILEFEnVAbslS8hmmbBMv1Eh3gjmrlHAjTIHThC_Oedz_h11vflLhLQ9pIhJs9CBZJ21uOpcYAvPkg9h3Xv9_vd7uR-eaWSZAIymddBS6MNHmhMAjrdn7cEpjLqYQxhdvVf4tx_w4Kzg5IFH4avIUj9zagXxVNORvFReRoSDrJ2te8eyJf3F-xhAkmbDXY0Ompne6uKo9ZcZYsXnVwmWfDCqTe1i1KmRudpIwgTExNEOWaVtzKWG4kD52vpmzpqidqLVi-Q5AO7vJb08YSj0jWXe_sNsFz6AZmFHQs1SJgqK5MGZGTTsLCFaU_jzKWQtwMsceFN2FbcqxjQm7glrwoOvPtHKimxcZkz68fp4VW-n4g9gBh&p=5&fvj=0&vjs=3
126,newSoftware Engineer,C++,BEL,"Hyderabad, Telangana","₹30,000 a month",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Csd0hh78UOY5qd3S4iQ-hYhz4b9s1K0EwsKd4dgwZZgs9bRu5B1JOpb48Pr8zl-xaX_PwJaSGJquaIaBq5uiENs26wbEoNcCip6lkjC8FO3hcRBS5JZdpEzcIJG4043PS-JpZVKZCt85f86ZCrujYl4Rd5t_-SZyljj4bNUBkWUiN7N-bxl-0apO5KZN8BOK2tQZBTLe-MvzY9FOt3hVakOJJ9ofZcXUnDt1VrmUL40YxMXhR2wDVBFOzSXWCaGxYF_7ctIfjEcIfwpFP_dpht5ZZW_G_wH1HlyJL0IvmTFm7Bl3s-ruRBUBEbdyCvcJz10tf4RkbXfhbwWvtCyUA2XnVv-3ecFdRj6DhrSCgMDt1NyOnPf0XgnKlRo808qYWJstyEoVQ1PpJ4ZazdJ_JDy7Hamhps5uSWQ7z0RWNKwkqUC_AMDpH7mVEYHq3FKfcpAMl2qq5n4g==&p=6&fvj=1&vjs=3
127,newFresher computer engineer,C++,infon solutions,"Kolkata, West Bengal","₹15,000 - ₹30,000 a month",in.indeed.com/company/infon-solutions/jobs/Fresher-Computer-Engineer-1c360825ff7c1bd8?fccid=45f70c7e04822abe&vjs=3
128,"Software Engineer, University Graduate, 2022 Start",C++,Google,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=d200d983b41a697b&fccid=a5b4499d9e91a5c6&vjs=3
129,"newSoftware Engineer (C/C++, Systems)",C++,NetApp,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=a7ec817fa107c8ea&fccid=77cec2f25f9bd7ed&vjs=3
130,newAccounts Manager,C++,Capital Photo Service Pvt Ltd,"Kolkata, West Bengal","₹30,000 - ₹53,084 a month",in.indeed.com/company/Capital-Photo-Service-Pvt-Ltd/jobs/Account-Manager-cf1baadb62380992?fccid=d1bb91be5fc24798&vjs=3
131,Junior Software Engineer,C++,Codearts solution pvt ltd,"Kolkata, West Bengal",Not Specified,in.indeed.com/company/Codearts-solution-pvt-ltd/jobs/Junior-Software-Engineer-94dbadb684ac27f0?fccid=37143f35fd56b18e&vjs=3
132,newRetail Store Manager,C++,NIVRITTI FOODS PVT LTD,"Kolkata, West Bengal","₹14,000 - ₹20,000 a month",in.indeed.com/company/NIVRITTI-FOODS-PVT-LTD/jobs/Retail-Store-Manager-ca9e33f59c40af96?fccid=47903dd995a8f7a5&vjs=3
133,newQuantum Leap - Software Engineer,C++,Qualcomm India Private Limited,"Hyderabad, Telangana",Not Specified,in.indeed.com/rc/clk?jk=741d224f5830de36&fccid=d40ebe11fc879426&vjs=3
134,newSoftware Specialist C/C++ and Python,C++,Hewlett Packard Enterprise,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=314f8c7fb4d84ae1&fccid=216eb700022de6f6&vjs=3
135,newRetail Store Manager,C++,NIVRITTI FOODS PVT LTD,"Kolkata, West Bengal","₹14,000 - ₹20,000 a month",in.indeed.com/company/NIVRITTI-FOODS-PVT-LTD/jobs/Retail-Store-Manager-ca9e33f59c40af96?fccid=47903dd995a8f7a5&vjs=3
136,newQuantum Leap - Software Engineer,C++,Qualcomm India Private Limited,"Hyderabad, Telangana",Not Specified,in.indeed.com/rc/clk?jk=741d224f5830de36&fccid=d40ebe11fc879426&vjs=3
137,newSoftware Specialist C/C++ and Python,C++,Hewlett Packard Enterprise,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=314f8c7fb4d84ae1&fccid=216eb700022de6f6&vjs=3
138,Subject Matter Expert - Freelancer,C++,TutorPedia,"Delhi, Delhi•Remote","₹3,00,000 - ₹4,00,000 a year",in.indeed.com/company/TutorPedia/jobs/Subject-Matter-Expert-048d3cefbb018b52?fccid=b957d461f7610f13&vjs=3
139,newSnapLogic Application Support Engineer,C++,Accenture,"Mumbai, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=210c637286404af1&fccid=a4e4e2eaf26690c9&vjs=3
140,"newMBOS: Linux/QNX, C, C++ for Automotive Entertainment",C++,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=0f506d510709f2d4&fccid=33fa1494c1a3ee87&vjs=3
141,Software Engineer,C++,Mobiveil Technologies India Private Limited,"Bengaluru, Karnataka•Temporarily Remote","₹12,00,000 - ₹18,00,000 a year",in.indeed.com/company/Mobiveil-Technologies-India-Private-Limited/jobs/Software-Engineer-c08cf63b3031cf2e?fccid=a8450ad8e42947d7&vjs=3
142,newEXECUTIVE I - SHARED SERVICES,C++,Asian Paints,India,Not Specified,in.indeed.com/rc/clk?jk=76bec87fc6f998d0&fccid=23dfc3f4bf14ec8d&vjs=3
143,Software engineer,C++,Harman International,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=5ebcb67c7147f5a1&fccid=4faf342d2307e9ed&vjs=3
144,newSoftware Developer,C++,CCLMS MANAGEMENT COLLEGE,"Contai, West Bengal","₹18,924 - ₹27,541 a month",in.indeed.com/company/CCLMS-MANAGEMENT-COLLEGE/jobs/Software-Developer-df7385b1d5bd1222?fccid=624628cdb1c91f5a&vjs=3
145,c c++ trainer part time,C++,RIA CLASSROOM,"Bengaluru, Karnataka•Remote","₹5,000 - ₹15,000 a month",in.indeed.com/company/RIA-CLASSROOM/jobs/C-C++-Trainer-57f3f7c801fb3f3c?fccid=59388d94d803f480&vjs=3
146,newSoftware Engineering Specialist,C++,amdocs,"Pune, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=6c182dc20c79ef03&fccid=3b6bf500a6749588&vjs=3
147,newCoding Teacher work from Home,C++,Sunshine Manpower Solution And Services,"Bengaluru, Karnataka•Remote","₹50,000 - ₹1,00,000 a month",in.indeed.com/rc/clk?jk=1fe1e50f9294ab6c&fccid=050e6e9c784d0a85&vjs=3
148,newTrainee engineer; Trained freshers,C++,Radical Technologies,"Pune, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=5768961473eb6556&fccid=2fbc99555cec9540&vjs=3
149,newRBB-NR-PIS,C++,HDFC Bank,"Kolkata, West Bengal",Not Specified,in.indeed.com/rc/clk?jk=1517cc921e9a8c5b&fccid=a6fab41a2a4262c5&vjs=3
150,newAuthoriser - WBO,C++,HDFC Bank,Maharashtra+32 locations,Not Specified,in.indeed.com/rc/clk?jk=8bc3dfd3cf9a2647&fccid=a6fab41a2a4262c5&vjs=3
